frequency,recency,monetary,clusters
5,282,601.75,1
5,83,3118.5,1
5,167,1154.5,1
5,458,6579.5,1
5,79,3222.25,1
5,155,4351.75,1
5,146,1319.75,1
5,91,1765.3,1
5,313,538.75,1
5,112,2075.0,1
5,203,1687.5,1
5,467,1775.5,1
5,187,11380.5,1
5,563,2869.25,1
5,357,4250.0,1
5,73,1610.5,1
5,294,356.5,1
5,343,5119.5,1
5,241,7394.75,1
5,90,543.25,1
5,40,960.75,1
5,410,7956.2,1
5,583,687.5,1
5,181,5816.25,1
5,90,5398.75,1
5,98,2106.95,1
5,188,4382.5,1
5,114,794.85,1
5,156,1881.25,1
5,71,1804.25,1
5,416,534.5,1
5,120,2072.0,1
5,413,2128.5,1
5,92,7006.1900000000005,1
5,314,6118.5,1
5,317,6151.0,1
5,202,2188.75,1
5,553,1620.75,1
5,584,1565.0,1
5,310,2919.1000000000004,1
5,15,1134.4,1
5,256,1769.5,1
5,495,1018.25,1
5,19,3064.95,1
5,70,442.25,1
5,118,5649.25,1
5,544,1321.0,1
5,197,1854.0,1
5,206,2227.75,1
5,281,583.3000000000001,1
5,143,5122.0,1
5,64,1633.75,1
5,256,1916.5,1
5,281,900.25,1
5,421,902.25,1
5,284,518.25,1
5,211,2280.75,1
5,75,338.5,1
5,105,2895.0,1
5,547,925.25,1
5,16,934.25,1
5,165,2518.5499999999997,1
5,125,1982.25,1
5,93,474.25,1
5,124,2026.6499999999999,1
5,182,1179.5,1
5,371,2092.75,1
5,591,2240.25,1
5,321,3206.0,1
5,161,5355.599999999999,1
5,362,1377.5,1
5,117,1380.5500000000002,1
4,285,515.84,1
4,404,1765.0,1
4,48,819.68,1
4,554,358.24,1
4,488,2120.16,1
4,7,732.6300000000001,1
4,277,965.44,1
4,329,316.0,1
4,310,625.44,1
4,132,1174.64,1
4,76,1134.24,1
4,312,1427.04,1
4,384,4560.48,1
4,274,585.92,1
4,503,1101.92,1
4,62,1211.2,1
4,237,1856.96,1
4,30,1068.34,1
4,200,7212.96,1
4,62,1166.08,1
4,107,1860.84,1
4,138,404.96,1
4,38,557.28,1
4,523,2582.72,1
4,131,1017.76,1
4,195,572.8,1
4,449,921.6,1
4,69,690.56,1
4,109,409.36,1
4,424,1546.88,1
4,109,1246.12,1
4,108,1184.9300000000003,1
4,596,1867.74,1
4,163,2146.08,1
4,286,709.28,1
4,169,765.76,1
4,97,692.79,1
4,283,3727.2,1
4,265,2153.44,1
4,524,2257.6,1
4,234,481.12,1
4,159,1191.52,1
4,267,748.8,1
4,268,442.88,1
4,70,2631.68,1
4,256,532.32,1
4,360,825.6,1
4,284,654.67,1
4,70,403.68,1
4,266,2250.08,1
4,198,268.32,1
4,77,1893.6,1
4,102,1246.24,1
4,26,212.64,1
4,280,439.36,1
4,113,1919.44,1
4,43,1306.4,1
4,593,872.32,1
4,553,952.32,1
4,447,1482.62,1
4,29,1498.08,1
4,414,668.48,1
4,486,947.04,1
4,108,653.28,1
4,334,3758.88,1
4,290,1364.0,1
4,13,2710.47,1
4,236,1987.56,1
4,448,729.76,1
4,12,507.76,1
4,364,532.32,1
4,71,1368.64,1
4,387,426.88,1
4,280,1457.76,1
4,43,385.84,1
4,35,570.6,1
4,165,308.16,1
4,74,1475.96,1
4,402,3040.7200000000003,1
4,225,640.0,1
4,274,377.76,1
4,29,966.04,1
4,106,859.92,1
4,446,803.2,1
4,583,2310.4,1
4,407,1677.76,1
4,165,1926.08,1
4,187,1016.0,1
4,167,937.38,1
4,274,4733.840000000001,1
4,196,800.0,1
4,542,2427.8,1
4,224,1066.08,1
4,283,1271.12,1
4,46,3555.36,1
4,261,357.28,1
4,231,2254.56,1
4,291,2189.16,1
4,175,821.12,1
4,172,1828.32,1
4,323,2356.0,1
4,205,1954.72,1
4,155,702.08,1
4,350,841.44,1
4,469,972.64,1
4,203,325.44,1
4,156,880.48,1
4,309,5527.48,1
4,333,1241.12,1
4,530,2119.68,1
4,95,2126.44,1
4,206,1262.52,1
4,60,730.9399999999999,1
4,124,3822.7200000000003,1
4,37,889.4,1
4,339,1006.72,1
4,75,3584.96,1
4,161,2361.44,1
4,528,773.6,1
4,340,7667.84,1
4,321,458.4,1
4,281,752.0,1
4,104,489.44,1
4,476,1927.84,1
4,462,1444.16,1
4,489,527.36,1
4,483,6702.72,1
4,195,3610.0000000000005,1
4,169,759.04,1
4,102,695.04,1
4,147,787.52,1
4,313,856.16,1
4,441,957.95,1
4,224,1168.96,1
4,85,12490.88,1
4,151,1850.8,1
4,303,457.76,1
4,438,505.6,1
4,224,1273.28,1
4,538,1792.8,1
4,173,1850.88,1
4,292,569.92,1
4,140,1566.64,1
4,123,1376.8,1
4,350,2000.16,1
4,204,1191.2,1
4,82,760.6800000000001,1
4,355,1885.6,1
4,520,1454.56,1
4,123,1892.48,1
4,45,1117.2,1
4,41,565.76,1
4,364,2176.72,1
4,446,2090.4400000000005,1
4,465,4820.0,1
4,471,481.44,1
4,191,800.16,1
4,159,649.92,1
4,341,7046.56,1
4,266,1566.08,1
4,517,6731.68,1
4,249,394.88,1
4,362,2861.12,1
4,202,592.0,1
4,159,2943.84,1
4,132,3352.92,1
4,264,665.6,1
4,377,1148.0,1
4,132,1552.0,1
4,303,656.16,1
4,78,1570.4,1
4,109,992.16,1
4,68,693.28,1
4,328,1297.5500000000002,1
4,86,627.2,1
4,194,603.04,1
4,226,1966.08,1
4,384,651.04,1
4,284,3149.8,1
4,265,1226.56,1
4,398,570.88,1
4,448,449.6,1
4,421,1305.36,1
4,357,3951.2,1
4,450,673.12,1
4,115,797.44,1
4,386,857.44,1
4,396,844.36,1
4,74,1992.8,1
4,92,1268.64,1
4,144,518.24,1
4,285,1793.75,1
4,288,668.0,1
4,439,491.36,1
4,135,877.28,1
4,32,1627.8,1
4,212,399.81,1
4,161,516.48,1
4,595,968.96,1
4,282,249.92,1
4,229,1679.36,1
4,27,982.4,1
4,581,452.0,1
4,500,1872.0,1
4,284,640.0,1
4,120,3732.48,1
4,284,655.52,1
4,125,4307.04,1
4,187,669.44,1
4,467,3763.12,1
4,342,6030.24,1
4,323,261.6,1
4,498,696.08,1
4,35,3049.6,1
4,148,3076.32,1
4,277,3063.36,1
4,283,1873.68,1
4,68,1627.12,1
4,699,2707.68,1
4,284,1145.2,1
4,326,9601.919999999998,1
4,87,1669.33,1
4,302,922.08,1
4,134,1512.16,1
4,273,1684.48,1
4,369,840.0,1
4,574,2626.08,1
4,698,875.48,1
4,188,752.0799999999999,1
4,333,2694.72,1
4,208,1939.04,1
4,455,443.6,1
4,322,541.6,1
4,62,2040.48,1
4,137,2456.84,1
4,440,746.24,1
4,323,856.16,1
4,148,280.64,1
4,130,2424.16,1
4,118,812.64,1
4,199,1589.44,1
4,24,871.04,1
4,152,3108.96,1
4,202,1185.12,1
4,496,887.36,1
4,478,790.48,1
4,28,676.64,1
4,41,515.52,1
4,117,817.12,1
4,282,946.24,1
4,271,438.0,1
4,120,3853.36,1
4,536,950.72,1
4,101,923.36,1
4,284,1051.04,1
4,455,544.0,1
4,235,960.16,1
4,225,1632.48,1
4,221,856.76,1
4,51,29099.52,1
4,82,695.2,1
4,26,1202.32,1
4,303,3472.96,1
4,493,1500.48,1
4,187,2020.48,1
4,356,3993.96,1
4,406,4085.92,1
4,90,843.2,1
4,198,1326.72,1
4,111,212.64,1
4,130,1317.28,1
4,409,3090.0,1
4,301,816.8,1
4,414,1114.08,1
4,412,3835.36,1
4,20,633.88,1
4,49,1550.8899999999999,1
4,201,1673.44,1
4,125,862.4,1
4,290,3001.96,1
4,169,1260.96,1
4,94,1390.08,1
4,239,3291.6,1
4,467,428.8,1
4,71,460.63999999999993,1
4,15,1369.52,1
4,477,449.6,1
4,232,721.44,1
4,109,2630.24,1
4,328,3859.04,1
4,352,800.96,1
4,433,4461.92,1
4,315,2827.36,1
4,146,1072.8,1
4,131,1055.36,1
4,290,1039.8400000000001,1
4,227,1729.6,1
4,427,796.24,1
4,388,4491.44,1
4,592,1550.56,1
4,385,783.16,1
4,62,3508.0899999999997,1
4,404,2339.36,1
4,137,908.48,1
4,258,2443.2,1
4,536,855.72,1
4,78,520.96,1
4,225,2115.2,1
4,111,2171.36,1
4,369,949.28,1
4,13,834.2,1
4,20,990.72,1
4,73,547.64,1
4,344,340.48,1
4,260,2752.16,1
4,150,1462.72,1
4,474,3574.08,1
4,124,1247.52,1
4,192,1185.12,1
4,316,1244.92,1
4,428,2570.48,1
4,275,1629.44,1
4,188,2367.5099999999998,1
4,30,1421.16,1
4,86,376.72,1
4,340,4138.88,1
4,229,1085.12,1
4,196,497.6,1
4,89,1679.68,1
4,164,1903.28,1
4,218,544.0,1
4,544,1892.4800000000002,1
4,538,1084.48,1
4,394,1405.44,1
4,15,532.0,1
4,413,1056.36,1
4,120,886.08,1
4,257,685.28,1
4,421,365.44,1
4,322,1148.0,1
4,19,416.25000000000006,1
4,484,680.0,1
4,314,3658.72,1
4,329,881.6,1
4,179,1251.36,1
4,370,1231.66,1
4,387,426.76,1
4,564,708.0,1
4,141,1077.76,1
4,217,701.92,1
4,463,299.36,1
4,351,3998.72,1
4,171,1499.7900000000002,1
4,308,621.8,1
4,283,1066.72,1
4,485,440.8,1
4,285,476.16,1
4,202,1276.96,1
4,331,880.8,1
4,39,3072.4399999999996,1
4,197,1550.72,1
4,426,1150.12,1
4,539,2304.8,1
4,279,678.08,1
4,305,1029.36,1
4,231,648.0,1
4,305,1619.2,1
4,519,1232.96,1
4,152,862.0,1
4,239,1056.16,1
4,337,600.0,1
4,449,3041.28,1
4,412,3308.64,1
4,35,294.16,1
4,113,1006.72,1
4,456,759.44,1
4,189,1963.5800000000002,1
4,342,1081.44,1
4,285,998.68,1
4,421,5771.36,1
4,273,2239.68,1
4,90,1472.96,1
4,91,1042.4,1
4,278,683.04,1
4,564,2614.56,1
4,399,7770.400000000001,1
4,31,1404.72,1
4,167,704.64,1
4,152,623.04,1
4,283,730.88,1
4,142,509.92,1
4,225,2475.73,1
4,532,415.2,1
4,487,709.28,1
4,85,890.56,1
4,341,1048.48,1
4,416,1885.32,1
4,585,823.84,1
4,22,553.88,1
4,36,655.71,1
4,588,3642.4,1
4,556,2156.48,1
4,169,745.76,1
4,232,1069.92,1
4,162,1570.24,1
4,168,2446.72,1
4,389,397.28,1
4,39,292.48,1
4,116,484.48,1
4,62,837.44,1
4,99,1175.04,1
4,332,1168.68,1
4,332,1027.04,1
4,38,1409.0,1
4,174,978.08,1
4,151,2171.92,1
4,299,769.48,1
4,39,1037.44,1
4,583,471.84,1
4,239,560.0,1
4,327,1651.84,1
4,231,1366.04,1
4,169,548.16,1
4,496,621.28,1
4,286,395.52,1
4,202,3220.48,1
4,71,3557.12,1
4,323,1522.88,1
4,124,713.6,1
4,700,1532.96,1
4,55,893.5,1
4,229,620.64,1
4,221,412.48,1
4,420,2264.0,1
4,443,463.84,1
4,296,3814.12,1
4,236,7708.800000000001,1
4,521,6879.68,1
4,281,897.6,1
4,213,1110.56,1
4,323,512.0,1
4,317,1241.12,1
4,390,508.48,1
4,163,1074.56,1
4,212,2389.76,1
4,261,755.0,1
4,284,2998.56,1
4,585,551.84,1
4,210,1080.0,1
4,210,3277.28,1
4,90,500.64,1
4,233,864.0,1
4,567,2414.24,1
4,336,512.0,1
4,253,872.16,1
4,277,1520.32,1
4,339,864.0,1
4,351,599.84,1
4,14,1833.9099999999999,1
4,121,837.12,1
4,288,3328.0,1
4,168,418.88,1
4,174,707.52,1
4,549,2006.88,1
4,412,1632.48,1
4,238,2763.44,1
4,280,3952.7599999999998,1
4,413,2987.84,1
4,368,991.6800000000001,1
4,139,4282.72,1
4,142,2359.68,1
4,84,1591.6,1
4,277,1024.0,1
4,53,627.72,1
4,341,383.45,1
4,31,1078.08,1
4,26,1050.36,1
4,69,1769.28,1
4,63,3235.52,1
4,88,3790.88,1
4,539,3080.96,1
4,187,1076.8,1
4,40,1449.52,1
3,70,267.57,1
3,390,427.5,1
3,472,1000.6200000000001,1
3,32,245.70000000000002,1
3,193,798.75,1
3,412,1925.46,1
3,277,391.02,1
3,29,838.71,1
3,271,798.48,1
3,324,1016.52,1
3,199,516.87,1
3,146,301.86,1
3,585,951.0,1
3,111,2077.77,1
3,478,333.75,1
3,82,415.43999999999994,1
3,322,481.5,1
3,326,2120.13,1
3,363,680.8499999999999,1
3,172,302.04,1
3,252,547.6,1
3,176,488.88,1
3,13,458.82,1
3,166,541.47,1
3,183,406.98,1
3,581,1179.4499999999998,1
3,698,544.77,1
3,386,856.89,1
3,287,1187.3700000000001,1
3,43,5583.78,1
3,201,313.11,1
3,163,749.04,1
3,194,666.63,1
3,113,908.6999999999999,1
3,29,887.94,1
3,86,568.98,1
3,216,1059.93,1
3,312,5142.0599999999995,1
3,132,1572.4499999999998,1
3,277,699.3,1
3,43,567.72,1
3,222,576.9000000000001,1
3,430,649.89,1
3,534,593.55,1
3,293,370.17,1
3,164,893.8499999999999,1
3,132,1284.57,1
3,495,447.21,1
3,153,156.42000000000002,1
3,282,2766.06,1
3,225,413.82,1
3,308,945.1800000000001,1
3,36,538.71,1
3,562,593.91,1
3,32,970.6500000000001,1
3,238,429.65999999999997,1
3,210,558.09,1
3,231,607.5,1
3,288,2068.56,1
3,31,977.0999999999999,1
3,697,782.0999999999999,1
3,284,380.96999999999997,1
3,72,1318.53,1
3,77,6197.3099999999995,1
3,317,491.07,1
3,281,664.6099999999999,1
3,357,675.63,1
3,368,647.73,1
3,68,658.71,1
3,96,336.51,1
3,154,570.39,1
3,319,261.78000000000003,1
3,295,1513.53,1
3,26,279.36,1
3,108,599.37,1
3,191,6273.99,1
3,268,651.87,1
3,403,1088.79,1
3,207,1500.3899999999999,1
3,136,262.98,1
3,422,817.92,1
3,225,2145.96,1
3,152,1148.76,1
3,89,628.16,1
3,70,561.75,1
3,25,839.8799999999999,1
3,239,925.83,1
3,28,520.74,1
3,158,3293.1000000000004,1
3,35,486.54,1
3,157,956.61,1
3,146,1262.76,1
3,287,1109.8799999999999,1
3,316,506.88,1
3,290,695.8199999999999,1
3,391,431.28,1
3,233,576.9000000000001,1
3,287,247.23,1
3,391,1542.96,1
3,276,255.24,1
3,318,1707.75,1
3,58,216.54000000000002,1
3,170,879.8699999999999,1
3,72,792.72,1
3,168,394.91999999999996,1
3,89,380.61,1
3,296,792.72,1
3,37,595.4399999999999,1
3,126,436.68,1
3,397,1469.07,1
3,332,698.13,1
3,92,316.98,1
3,308,592.11,1
3,126,614.88,1
3,387,1537.38,1
3,79,784.86,1
3,531,1020.7599999999999,1
3,574,879.72,1
3,219,482.22,1
3,175,676.8,1
3,241,2106.54,1
3,394,286.92,1
3,145,1203.21,1
3,475,2440.23,1
3,258,447.93,1
3,353,1121.91,1
3,131,1370.5500000000002,1
3,131,398.82,1
3,181,429.12,1
3,84,414.27,1
3,147,1221.3899999999999,1
3,322,698.13,1
3,159,501.03,1
3,129,369.45000000000005,1
3,184,701.8199999999999,1
3,280,1802.07,1
3,50,1464.48,1
3,119,358.02,1
3,540,421.74,1
3,252,621.72,1
3,260,731.0699999999999,1
3,476,834.03,1
3,369,3097.0499999999997,1
3,119,772.3499999999999,1
3,54,396.0,1
3,179,271.71,1
3,339,844.02,1
3,206,780.5699999999999,1
3,14,401.97,1
3,227,425.90999999999997,1
3,429,658.26,1
3,284,1145.07,1
3,469,567.9000000000001,1
3,90,433.89,1
3,385,1958.7599999999998,1
3,62,268.35,1
3,543,1872.72,1
3,231,2002.6799999999998,1
3,204,704.37,1
3,284,1201.32,1
3,89,596.79,1
3,90,1000.98,1
3,111,1272.4899999999998,1
3,57,299.07,1
3,92,640.05,1
3,463,450.09000000000003,1
3,46,1114.65,1
3,51,1689.84,1
3,85,929.3399999999999,1
3,435,1848.7800000000002,1
3,79,228.75,1
3,141,483.29999999999995,1
3,259,315.81,1
3,224,1382.52,1
3,134,428.49,1
3,144,195.54000000000002,1
3,244,2054.3999999999996,1
3,165,520.48,1
3,525,929.1600000000001,1
3,368,452.25,1
3,45,406.89,1
3,105,822.33,1
3,284,438.90000000000003,1
3,418,459.45000000000005,1
3,187,257.4,1
3,11,373.67,1
3,299,2289.69,1
3,27,804.85,1
3,98,418.08000000000004,1
3,281,1851.72,1
3,160,1155.24,1
3,28,428.04,1
3,337,658.3499999999999,1
3,201,1239.3600000000001,1
3,76,944.4300000000001,1
3,92,615.5500000000001,1
3,175,1003.31,1
3,71,588.87,1
3,318,766.9799999999999,1
3,395,236.16,1
3,176,485.58000000000004,1
3,444,477.09000000000003,1
3,318,577.5,1
3,120,899.0999999999999,1
3,83,1383.75,1
3,155,1136.97,1
3,79,259.02,1
3,26,1307.79,1
3,188,128.52,1
3,49,1039.23,1
3,330,177.93,1
3,349,490.59000000000003,1
3,533,409.14,1
3,516,731.52,1
3,300,490.59000000000003,1
3,455,765.48,1
3,120,398.04,1
3,25,489.96,1
3,343,1708.83,1
3,212,920.29,1
3,542,354.78000000000003,1
3,29,489.96,1
3,273,603.45,1
3,241,931.9499999999999,1
3,37,962.01,1
3,284,561.75,1
3,134,387.36,1
3,252,382.68,1
3,62,1771.8600000000001,1
3,131,331.83,1
3,28,300.78000000000003,1
3,470,704.0699999999999,1
3,67,2235.01,1
3,329,360.0,1
3,282,369.09000000000003,1
3,401,768.5400000000001,1
3,65,390.09000000000003,1
3,120,425.07,1
3,275,747.09,1
3,529,576.36,1
3,364,1014.39,1
3,341,1160.3700000000001,1
3,215,607.5,1
3,231,429.65999999999997,1
3,275,464.31000000000006,1
3,377,703.5,1
3,152,915.0100000000001,1
3,578,633.12,1
3,279,768.24,1
3,400,660.0600000000001,1
3,291,4281.75,1
3,83,280.98,1
3,282,599.8499999999999,1
3,120,436.68,1
3,126,2046.42,1
3,26,344.07,1
3,110,461.88,1
3,84,1121.3700000000001,1
3,284,998.0999999999999,1
3,121,899.0999999999999,1
3,473,858.38,1
3,195,1175.04,1
3,174,557.37,1
3,97,328.17,1
3,119,640.3499999999999,1
3,133,1317.15,1
3,163,957.51,1
3,34,715.59,1
3,294,543.45,1
3,101,1889.28,1
3,155,1203.21,1
3,139,1020.39,1
3,210,519.75,1
3,295,666.45,1
3,361,1333.17,1
3,130,388.16999999999996,1
3,285,450.81000000000006,1
3,29,436.40999999999997,1
3,455,906.0099999999999,1
3,391,374.67,1
3,157,1555.17,1
3,53,516.24,1
3,278,1484.16,1
3,184,469.83000000000004,1
3,414,375.75,1
3,90,1002.1500000000001,1
3,373,481.5,1
3,123,515.49,1
3,122,501.51,1
3,308,215.39999999999998,1
3,163,173.33999999999997,1
3,324,504.90000000000003,1
3,122,1020.1500000000001,1
3,21,201.42000000000002,1
3,40,2512.2599999999998,1
3,424,364.77,1
3,99,594.39,1
3,122,679.14,1
3,435,527.22,1
3,46,703.8,1
3,274,787.59,1
3,457,576.9000000000001,1
3,49,191.60999999999999,1
3,107,810.4499999999999,1
3,224,607.5,1
3,206,508.5,1
3,128,944.28,1
3,573,559.62,1
3,586,498.87,1
3,203,475.65000000000003,1
3,282,700.38,1
3,256,516.03,1
3,338,1540.2699999999998,1
3,402,419.66999999999996,1
3,158,2263.86,1
