order_hour,product_category_name_english,order_id
0,agro_industry_and_commerce,18
0,air_conditioning,8
0,art,7
0,audio,12
0,auto,93
0,baby,82
0,bed_bath_table,277
0,books_general_interest,9
0,books_imported,2
0,books_technical,6
0,christmas_supplies,1
0,cine_photo,1
0,computers,4
0,computers_accessories,151
0,consoles_games,38
0,construction_tools_construction,15
0,construction_tools_lights,6
0,construction_tools_safety,3
0,cool_stuff,87
0,costruction_tools_garden,1
0,drinks,4
0,dvds_blu_ray,1
0,electronics,56
0,fashio_female_clothing,1
0,fashion_bags_accessories,65
0,fashion_male_clothing,2
0,fashion_shoes,10
0,fashion_sport,1
0,fashion_underwear_beach,3
0,fixed_telephony,2
0,flowers,1
0,food,10
0,food_drink,7
0,furniture_bedroom,5
0,furniture_decor,252
0,furniture_living_room,22
0,furniture_mattress_and_upholstery,1
0,garden_tools,118
0,health_beauty,239
0,home_appliances,11
0,home_appliances_2,9
0,home_comfort_2,1
0,home_confort,19
0,home_construction,12
0,housewares,148
0,industry_commerce_and_business,2
0,kitchen_dining_laundry_garden_furniture,17
0,luggage_accessories,32
0,market_place,3
0,musical_instruments,12
0,office_furniture,42
0,party_supplies,5
0,perfumery,76
0,pet_shop,27
0,signaling_and_security,5
0,small_appliances,6
0,small_appliances_home_oven_and_coffee,1
0,sports_leisure,236
0,stationery,70
0,tablets_printing_image,3
0,telephony,145
0,toys,102
0,watches_gifts,175
1,air_conditioning,2
1,art,3
1,audio,2
1,auto,48
1,baby,23
1,bed_bath_table,133
1,books_general_interest,12
1,books_imported,2
1,books_technical,1
1,christmas_supplies,4
1,cine_photo,2
1,computers,3
1,computers_accessories,69
1,consoles_games,16
1,construction_tools_construction,8
1,construction_tools_lights,3
1,construction_tools_safety,1
1,cool_stuff,39
1,costruction_tools_garden,4
1,drinks,5
1,dvds_blu_ray,2
1,electronics,37
1,fashion_bags_accessories,30
1,fashion_shoes,1
1,fixed_telephony,1
1,flowers,1
1,food,3
1,furniture_bedroom,1
1,furniture_decor,90
1,furniture_living_room,3
1,garden_tools,39
1,health_beauty,101
1,home_appliances,10
1,home_appliances_2,3
1,home_confort,7
1,home_construction,5
1,housewares,82
1,industry_commerce_and_business,7
1,kitchen_dining_laundry_garden_furniture,3
1,luggage_accessories,10
1,market_place,2
1,music,2
1,musical_instruments,9
1,office_furniture,12
1,perfumery,59
